
2019-05-23 11:23:40 | Socket numero: 96 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 28 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 15 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 29 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 22 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 24 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 21 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 37 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 95 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 19 | Connessione interrotta
2019-05-23 11:23:40 | Socket numero: 25 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 98 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 15 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 19 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 20 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 21 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 22 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 24 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 25 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 26 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 27 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 28 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 29 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 30 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 20 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 31 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 98 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 20 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 28 | Connessione interrotta
2019-05-23 11:24:09 | Socket numero: 26 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 33 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 26 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 25 | Connessione interrotta
2019-05-23 11:24:09 | Socket numero: 33 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 28 | Nuova connessione accettata

2019-05-23 11:24:09 | Socket numero: 25 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 26 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 33 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 19 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 26 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 31 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 19 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 24 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 31 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 26 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 24 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 27 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 26 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 31 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 27 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 30 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 31 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 28 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 30 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 19 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 28 | Nuova connessione accettata
2019-05-23 11:24:09 | Socket numero: 31 | Connessione interrotta

2019-05-23 11:24:09 | Socket numero: 19 | Nuova connessione accettata
2019-05-23 11:24:10 | Socket numero: 25 | Connessione interrotta

2019-05-23 11:24:10 | Socket numero: 31 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 25 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 34 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 37 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 40 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 43 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 46 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 51 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 52 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 95 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 96 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 97 | Nuova connessione accettata
2019-05-23 11:24:10 | Socket numero: 33 | Connessione interrotta

2019-05-23 11:24:10 | Socket numero: 98 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 33 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 99 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 100 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 101 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 102 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 103 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 104 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 105 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 106 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 107 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 108 | Nuova connessione accettata

2019-05-23 11:24:10 | Socket numero: 109 | Nuova connessione accettata

2019-05-23 11:24:11 | Socket numero: 110 | Nuova connessione accettata

2019-05-23 11:24:11 | Socket numero: 111 | Nuova connessione accettata

2019-05-23 11:24:11 | Socket numero: 112 | Nuova connessione accettata

2019-05-23 11:24:11 | Socket numero: 113 | Nuova connessione accettata

2019-05-23 11:24:13 | Socket numero: 114 | Nuova connessione accettata

2019-05-23 11:24:13 | Socket numero: 115 | Nuova connessione accettata

2019-05-23 11:24:13 | Socket numero: 116 | Nuova connessione accettata

2019-05-23 11:24:13 | Socket numero: 117 | Nuova connessione accettata
2019-05-23 11:24:16 | Socket numero: 46 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 26 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 40 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 99 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 97 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 34 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 24 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 95 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 27 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 29 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 33 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 15 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 20 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 101 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 30 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 43 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 22 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 98 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 28 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 21 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 31 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 25 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 96 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 19 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 100 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 52 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 37 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 51 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 105 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 104 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 103 | Connessione interrotta
2019-05-23 11:24:16 | Socket numero: 102 | Connessione interrotta

2019-05-23 11:24:16 | Socket numero: 118 | Nuova connessione accettata

2019-05-23 11:24:16 | Socket numero: 119 | Nuova connessione accettata

2019-05-23 11:24:16 | Socket numero: 120 | Nuova connessione accettata

2019-05-23 11:24:16 | Socket numero: 121 | Nuova connessione accettata
2019-05-23 11:24:17 | Socket numero: 106 | Connessione interrotta
2019-05-23 11:24:17 | Socket numero: 107 | Connessione interrotta
2019-05-23 11:24:17 | Socket numero: 109 | Connessione interrotta
2019-05-23 11:24:17 | Socket numero: 108 | Connessione interrotta
2019-05-23 11:24:17 | Socket numero: 110 | Connessione interrotta
2019-05-23 11:24:17 | Socket numero: 112 | Connessione interrotta
2019-05-23 11:24:17 | Socket numero: 111 | Connessione interrotta
2019-05-23 11:24:17 | Socket numero: 113 | Connessione interrotta
2019-05-23 11:24:19 | Socket numero: 116 | Connessione interrotta
2019-05-23 11:24:19 | Socket numero: 114 | Connessione interrotta
2019-05-23 11:24:19 | Socket numero: 115 | Connessione interrotta
2019-05-23 11:24:19 | Socket numero: 117 | Connessione interrotta
2019-05-23 11:24:23 | Socket numero: 119 | Connessione interrotta
